Date,ChangingRate,Company,Anomaly
2012-11-16,0.00472201443471,AAPL,0.0
2012-11-19,0.0462725100469,AAPL,1.0
2012-11-20,-0.0192338613996,AAPL,0.0
2012-11-21,-0.0045192150472,AAPL,0.0
2012-11-23,0.00763445191321,AAPL,0.0
2012-11-26,0.0236673165439,AAPL,0.0
2012-11-27,-0.00809089819755,AAPL,0.0
2012-11-28,0.00982215461819,AAPL,0.0
2012-11-29,-0.00145715321057,AAPL,0.0
2012-11-30,-0.0025733193024,AAPL,0.0
2012-12-03,-0.0125662998391,AAPL,0.0
2012-12-04,-0.0102269539986,AAPL,0.0
2012-12-05,-0.0529433454893,AAPL,1.0
2012-12-06,0.0345974204073,AAPL,1.0
2012-12-07,-0.0364112571534,AAPL,1.0
2012-12-10,0.00918090666667,AAPL,0.0
2012-12-11,0.00300129680974,AAPL,0.0
2012-12-12,-0.0160103172213,AAPL,0.0
2012-12-13,-0.0027487734317,AAPL,0.0
2012-12-14,-0.00963575344676,AAPL,0.0
2012-12-17,0.0194525398331,AAPL,0.0
2012-12-18,0.0169524133333,AAPL,0.0
2012-12-19,-0.00970894872821,AAPL,0.0
2012-12-20,-0.0156037525652,AAPL,0.0
2012-12-21,0.013386190594,AAPL,0.0
2012-12-24,-0.000345970973092,AAPL,0.0
2012-12-26,-0.0115607490728,AAPL,0.0
2012-12-27,0.00295991756264,AAPL,0.0
2012-12-28,-0.00137185123303,AAPL,0.0
2012-12-31,0.0423873443921,AAPL,1.0
2013-01-02,-0.00864904852099,AAPL,0.0
2013-01-03,-0.010549751963,AAPL,0.0
2013-01-04,-0.0185671492448,AAPL,0.0
2013-01-07,0.00363987943586,AAPL,0.0
2013-01-08,-0.00736938490247,AAPL,0.0
2013-01-09,-0.01033496037,AAPL,0.0
2013-01-10,-0.00953553518865,AAPL,0.0
2013-01-11,-0.00134355657546,AAPL,0.0
2013-01-14,-0.00185009539985,AAPL,0.0
2013-01-15,-0.0248444508846,AAPL,0.0
2013-01-16,0.0231481158482,AAPL,0.0
2013-01-17,-0.0149516412765,AAPL,0.0
2013-01-18,0.00296886395606,AAPL,0.0
2013-01-22,0.000416190332514,AAPL,0.0
